date,close,SMA50,SMA100,Signal,Entry/Exit,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2009-08-03,23.7757,,,0.0,,0.0,,0.0,,,,
2009-08-04,23.65,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,,
2009-08-05,23.5871,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-08-06,23.4157,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-08-07,23.6443,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-08-10,23.5314,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-08-11,23.2614,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-08-12,23.6157,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-08-13,24.06,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-08-14,23.8257,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-08-17,22.7986,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-08-18,23.4286,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-08-19,23.5143,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-08-20,23.7614,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-08-21,24.1743,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-08-24,24.1514,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-08-25,24.2,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-08-26,23.9157,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-08-27,24.2071,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-08-28,24.2928,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-08-31,24.03,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-09-01,23.614,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-09-02,23.5971,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-09-03,23.7929,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-09-04,24.33,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-09-08,24.7043,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-09-09,24.4486,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-09-10,24.6514,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-09-11,24.5943,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-09-14,24.8171,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-09-15,25.0228,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-09-16,25.9814,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-09-17,26.3643,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-09-18,26.4314,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-09-21,26.2886,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-09-22,26.3543,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-09-23,26.5,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-09-24,26.26,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-09-25,26.0528,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-09-28,26.5931,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-09-29,26.4828,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-09-30,26.4786,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-01,25.8371,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-02,26.4143,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-05,26.5748,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-06,27.1443,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-07,27.1786,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-08,27.0386,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-09,27.21,,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-12,27.2586,24.937146,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-13,27.1457,25.004546,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-14,27.3271,25.078087999999997,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-15,27.2228,25.150802,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-16,26.8643,25.219774,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-19,27.1228,25.289344,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-20,28.3943,25.386601999999996,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-21,29.2743,25.506859999999996,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-22,29.3143,25.620832,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-23,29.1343,25.722318,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-26,28.9257,25.824318,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-27,28.1957,25.93226,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-28,27.4857,26.013402,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-29,28.05,26.104115999999998,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-10-30,26.9286,26.167460000000002,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-11-02,27.0443,26.22486,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-11-03,26.9643,26.281118000000003,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-11-04,27.2586,26.34229,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-11-05,27.7186,26.418347999999995,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-11-06,27.7628,26.489462000000003,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-11-09,28.78,26.579206,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2009-11-10,28.9971,26.678548,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
